        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 4.275000+6 1.407900+0 4.280000+6 1.417200+0 4.285000+6 1.478900+0
 4.290000+6 1.617200+0 4.295000+6 1.841000+0 4.300000+6 2.123600+0
 4.305000+6 2.412900+0 4.310000+6 2.664800+0 4.315000+6 2.855800+0
 4.320000+6 2.976500+0 4.321000+6 2.992100+0 4.322000+6 3.005000+0
 4.323000+6 3.015200+0 4.324000+6 3.022900+0 4.325000+6 3.028000+0
 4.326000+6 3.030900+0 4.327000+6 3.031500+0 4.328000+6 3.029900+0
 4.329000+6 3.026500+0 4.330000+6 3.021200+0 4.335000+6 2.972100+0
 4.340000+6 2.897300+0 4.345000+6 2.809900+0 4.350000+6 2.718800+0
 4.355000+6 2.629600+0 4.360000+6 2.545000+0 4.370000+6 2.393800+0
 4.380000+6 2.267000+0 4.390000+6 2.161400+0 4.400000+6 2.073600+0
 4.410000+6 2.000800+0 4.420000+6 1.941600+0 4.430000+6 1.896200+0
 4.440000+6 1.867900+0 4.445000+6 1.862700+0 4.450000+6 1.865700+0
 4.455000+6 1.877900+0 4.460000+6 1.886700+0 4.462000+6 1.874600+0
 4.464000+6 1.835400+0 4.466000+6 1.751100+0 4.468000+6 1.618100+0
 4.470000+6 1.471400+0 4.472000+6 1.361600+0 4.475000+6 1.293000+0
 4.480000+6 1.298500+0 4.485000+6 1.323900+0 4.490000+6 1.339200+0
 4.495000+6 1.344400+0 4.500000+6 1.342300+0 4.505000+6 1.335100+0
 4.510000+6 1.324600+0 4.515000+6 1.313700+0 4.520000+6 1.311900+0
 4.521000+6 1.315300+0 4.522000+6 1.321200+0 4.523000+6 1.330900+0
 4.524000+6 1.346100+0 4.525000+6 1.369500+0 4.526000+6 1.405200+0
 4.527000+6 1.459700+0 4.528000+6 1.543200+0 4.529000+6 1.670800+0
 4.530000+6 1.863000+0 4.531000+6 2.138500+0 4.532000+6 2.487400+0
